time, x, y
195.56,3.0413711124871248,-3.4015135580850924
195.804,3.069754368301936,-3.4214070650224953
196.054,3.10255788083726,-3.444407934230209
196.332,3.1352582851535296,-3.467366198896383
196.556,3.163737298652716,-3.4874022950477754
196.81,3.1965619745640406,-3.5104975609758724
197.061,3.224983387581285,-3.530529395849141
197.314,3.25762589902371,-3.5535704563761916
197.554,3.286268286623976,-3.5737934387508288
197.807,3.3187565429498678,-3.596781054146157
198.054,3.3472489038943727,-3.6169569767437193
198.304,3.37586394507579,-3.6372321342614136
198.561,3.4082843671887058,-3.660252446036038
198.811,3.440947860622169,-3.683455409832442
199.055,3.4694323568824688,-3.7037132306804774
199.308,3.501864094264759,-3.726823873322679
199.56,3.530378263905528,-3.7471453300275654
199.814,3.558130250281215,-3.7668535968013486
200.058,3.5694770700759553,-3.774448588206254
200.307,3.5692541337812393,-3.7744355729606527
200.563,3.5681452314702176,-3.7741075455506716
200.804,3.567272357764736,-3.7739544508048013
201.059,3.5660724322249258,-3.7738850856736708
201.307,3.564827327969648,-3.7739791298647565
201.554,3.563752432619454,-3.7741994557285135
201.812,3.5625788295561214,-3.7746022718195036
202.058,3.5616551013486037,-3.7750585284133638
202.309,3.561011194854125,-3.7754978826894305
202.554,3.5599760433221643,-3.7763798106988906
202.805,3.558869862844744,-3.7775121505763534
203.054,3.5582673540386693,-3.778332258405479
203.309,3.557688929982132,-3.779362795332287
203.557,3.557292946440497,-3.7803313583189055
203.804,3.557181154108925,-3.7806729614557275
204.063,3.5619397940823507,-3.7665263637783992
204.304,3.5735496316445734,-3.733671074088501
204.559,3.5868626986911325,-3.69620676340491
204.809,3.60032659917252,-3.6583912584888116
205.054,3.611994181714639,-3.6256712929168797
205.304,3.6237602613633064,-3.59286015342794
205.564,3.637332622756211,-3.5550547134746826
205.807,3.6508015714088313,-3.517643604960665
206.058,3.662673661929522,-3.4848043966166933
206.304,3.6746137535951666,-3.451827833159203
206.554,3.688174587703248,-3.4144895754589446
206.804,3.701897753418603,-3.376839593648633
207.067,3.7138875119260444,-3.3439820032964014
207.307,3.727583112228008,-3.3066499751564256
207.561,3.73966249725915,-3.273779147986619
207.811,3.7534291172920553,-3.236377059175453
208.055,3.765528201491803,-3.2036837257850252
208.316,3.779483667879142,-3.166016938999604
208.559,3.7915551918321206,-3.1335055710818636
208.804,3.803747792034663,-3.100812483709987
209.054,3.817805983830582,-3.063172181670138
209.307,3.8317417456204845,-3.0259730979354775
209.567,3.844041498343292,-2.9932507943905993
209.805,3.8563889108793226,-2.960448714011901
210.054,3.870426825606392,-2.923297770270799
210.304,3.8828231437910428,-2.890572971909583
210.563,3.8969853417160762,-2.853227144953782
210.807,3.9112024454102308,-2.815955066284628
211.054,3.9237061955053925,-2.783210236078551
211.314,3.9379277289716845,-2.7460440454382082
211.564,3.9504460185176224,-2.713472209582729
211.804,3.963040544661178,-2.6807432024675104
212.061,3.9773473628860163,-2.643658752060189
212.304,3.9918074410541045,-2.6063166394924004
212.555,4.00447833261824,-2.5736426988642283
212.814,4.018884324084243,-2.536632362040379
213.061,4.031605238729528,-2.5040302140216584
213.312,4.0461341215222255,-2.466834181395135
213.554,4.058856393718704,-2.4344438065201
213.805,4.071672135695056,-2.401842810275876
214.061,4.086265822803079,-2.364780450136964
214.307,4.10097369301657,-2.3276092581411483
214.556,4.113891001640371,-2.2950058491565613
214.812,4.128561305501594,-2.2580670304844817
215.054,4.135311554813059,-2.241083956134849
215.308,4.135799631287112,-2.2400052963639085
215.564,4.136356614049891,-2.239107657481747
215.811,4.137352510909198,-2.23791042200962
216.056,4.13846829885486,-2.2368328348493667
216.305,4.139552982916777,-2.236019047305322
216.558,4.14027826279376,-2.235583054594239
216.819,4.141316616465876,-2.2351399825966842
217.057,4.142259762490368,-2.234864309519497
217.306,4.1433690129572085,-2.2346837131632684
217.559,4.144352488082775,-2.2346469832741462
217.807,4.145484755728599,-2.2347486015421656
218.054,4.146486951936557,-2.2349711469481344
218.305,4.1476659524939015,-2.23539751785085
218.559,4.148880476383407,-2.2360220806129014
218.806,4.149345096915602,-2.236309418585663
219.054,4.1524179773394545,-2.2385171380030116
219.322,4.168429623446826,-2.2511116349829394
219.554,4.195632393874003,-2.273175300239121
219.805,4.226561938675294,-2.2983057243044325
220.056,4.253619149647531,-2.3203066429162904
220.305,4.2847862682012385,-2.34565345245584
220.559,4.311672815262044,-2.367561878409716
220.814,4.342694526206338,-2.3928418040043926
221.055,4.3698600461029375,-2.4149940994097028
221.306,4.400644367268641,-2.440139208677809
221.555,4.427731621227436,-2.4622615491697433
221.809,4.458661207811029,-2.487551836686616
222.054,4.485600154438005,-2.5096115034867985
222.305,4.516651863287394,-2.53503357263165
222.555,4.543539105932651,-2.5570815022846665
222.804,4.570477587945511,-2.5791908590116366
223.055,4.601521986356057,-2.604668349229887
223.309,4.632262361460918,-2.629945706024085
223.557,4.659223272827531,-2.652120455906269
223.804,4.686302685967446,-2.674401084382423
224.054,4.7169793488639185,-2.699688675118139
224.309,4.730377426381453,-2.710745158399917
224.554,4.731127557794254,-2.7114596956531183
224.813,4.731890874339502,-2.7123988762816595
225.055,4.73246005236641,-2.7133211554046235
225.304,4.732994706007079,-2.7145156024741275
225.562,4.733630767186342,-2.716700112443265
225.806,4.733923217384563,-2.7181530494664723
226.054,4.734000376539531,-2.7192061418450186
226.306,4.733946448074929,-2.7203467199121882
226.558,4.733778671483617,-2.7213304715897126
226.813,4.733445119554891,-2.722437968401933
227.054,4.7330290821555385,-2.7233756980348116
227.309,4.732409454857681,-2.724399661120693
227.565,4.732209991120507,-2.7246798765041063
227.804,4.724308302629909,-2.734036895474656
228.056,4.704182529246357,-2.758561012978025
228.307,4.679300512046876,-2.789688891072415
228.558,4.657383754274546,-2.8169853552360773
228.804,4.632409140112322,-2.8481563988838747
229.063,4.610648726984771,-2.8752824377564465
229.328,4.585528488806242,-2.9064968349761613
229.557,4.563732998890765,-2.9336673977795216
229.804,4.541893044992108,-2.960801373796387
230.059,4.516765282119925,-2.9919584348995607
230.31,4.491792404180494,-3.0230099926256857
230.554,4.469819368729173,-3.050216492192592
230.804,4.444694856665342,-3.0813227382342867
231.066,4.422877899616466,-3.108378156131236
231.305,4.397636441187847,-3.13954152889212
231.558,4.375722556813565,-3.1666401256952916
231.804,4.353861757260444,-3.193673480345749
232.067,4.3285819684075975,-3.2248133494330316
232.305,4.303486208257478,-3.2558136133393782
232.563,4.28152628335679,-3.2828580944668864
232.81,4.256265984288737,-3.31390763834318
233.054,4.241434837711964,-3.3322960169231193
233.307,4.239483698984372,-3.334728670495037
233.569,4.238728315071739,-3.335465660376489
233.813,4.237753414009036,-3.3362047079767967
234.055,4.236814273564173,-3.336746261129187
234.308,4.235652663113493,-3.3372320571111644
234.555,4.23459053996035,-3.3375229503808397
234.804,4.23398015651336,-3.337630804639168
235.057,4.225828168534254,-3.3388460147169474
235.304,4.199718910480101,-3.3452379608872933
235.555,4.161059617966091,-3.355722755469536
235.811,4.122573900008293,-3.3661300921478747
236.063,4.088859823401721,-3.3753214456284417
236.305,4.050210804458793,-3.38584552960306
236.559,4.0166835335483055,-3.394986037683815
236.809,3.978073258186099,-3.4055864204136577
237.068,3.939598323248647,-3.416107402809912
237.309,3.9059215315362943,-3.4253736938549597
237.567,3.872234121151019,-3.434682184103683
237.817,3.8337381965635604,-3.4452703933987805
238.059,3.800118957877182,-3.454589561018037
238.31,3.7615239349832237,-3.465309971736657
238.555,3.7280062910519307,-3.4745913098620043
238.817,3.68944761984495,-3.4853577099097577
239.061,3.6510107470156874,-3.4960797529233405
239.313,3.6173978803282862,-3.5054683175284254
239.555,3.5837479416151634,-3.514932561519257
239.809,3.5451835062597805,-3.5257387794717667
240.054,3.5117344306294838,-3.5351553771466477
240.305,3.4731987668794053,-3.546058625153976
240.554,3.43959738404045,-3.555521055771777
240.809,3.4012058072199682,-3.5664121913783693
241.056,3.3675893957342047,-3.5759776794232128
241.309,3.3292189484081893,-3.586857668592751
241.555,3.295634118462729,-3.5964548713954567
241.805,3.2620295494996974,-3.606066608537241
242.062,3.2236987447184555,-3.617010490601506
242.314,3.1852153089446986,-3.6280876113544975
242.554,3.151615951590823,-3.6377302159210547
242.805,3.113327590159061,-3.6487549334322926
243.054,3.07976195628966,-3.658477542652779
243.304,3.0413228770581795,-3.6695633587415517
243.557,3.00789444850848,-3.67926663904709
243.805,2.9694396734487856,-3.6904643961424757
244.057,2.9360157611360216,-3.7001566710151805
244.305,2.9025089170195164,-3.709949259540878
244.554,2.8640670759352154,-3.72120072573765
244.807,2.8306854760273277,-3.730946632437563
245.054,2.792273992122006,-3.7422495726611946
245.305,2.753846811832943,-3.7535376138192933
245.558,2.7205143553978206,-3.7633506076906227
245.804,2.687006670447581,-3.7732771817530004
246.068,2.6438967370678097,-3.7859995017012626
246.306,2.6103815345022685,-3.7959499100172853
246.556,2.5881762804959734,-3.803032440076843
246.811,2.5823612102633584,-3.8052480037822853
247.058,2.581229706124133,-3.805557238649164
247.307,2.579891761988876,-3.8057465559670125
247.554,2.5787589460011664,-3.8057650032813277
247.828,2.577622495084217,-3.8056487507611734
248.059,2.577066465559478,-3.8055279926055503
248.313,2.5721278394727927,-3.804464676868521
248.554,2.539430865906437,-3.800638468575346
248.805,2.4997447451251618,-3.7963818233116813
249.063,2.465053383197748,-3.792631289712844
249.304,2.430403851948489,-3.7889141038197804
249.56,2.3906388503448692,-3.7845074679993345
249.804,2.3559587820161347,-3.7806588275219775
250.068,2.316315925299293,-3.7762562588218014
250.306,2.276536434941969,-3.7717122579600937
250.554,2.241829542899444,-3.7677665170216943
250.804,2.20727089411578,-3.7637973112313494
251.059,2.1675240497022825,-3.7591341612400897
251.315,2.127764983875026,-3.7545056523539855
251.556,2.093201399087286,-3.7503800881227134
251.805,2.053490526479657,-3.7456058270525654
252.063,2.01889064515326,-3.741473491418097
252.304,1.9842373751345521,-3.737215419722923
252.556,1.944548398697858,-3.7323269333501976
252.807,1.9049589534675766,-3.727449400847566
253.06,1.870287505581781,-3.723069127285699
253.315,1.8305810005745518,-3.718071754604871
253.557,1.7960711377400551,-3.713689570561023
253.806,1.76143336871208,-3.709206353210751
254.055,1.7217243890177336,-3.70409743775968
254.311,1.6872301816624247,-3.6995856001691285
254.554,1.6475743891803356,-3.694335212815624
254.811,1.607978175763314,-3.6891254547132206
255.054,1.5733748177766915,-3.6844538702556417
255.304,1.533748325851424,-3.6790937228725284
255.569,1.4943672582830647,-3.673765032651936
255.804,1.4646450260981092,-3.6696511671831216
256.064,1.4250155575093446,-3.664179458665605
256.321,1.385503799324853,-3.6586919539824505
256.556,1.3509248350751444,-3.6537984824376424
256.804,1.3163304707776757,-3.64892675335031
257.057,1.2768386614352587,-3.6432978437589365
257.31,1.2372500507432047,-3.637579155853994
257.555,1.2026852282701974,-3.632619579646303
257.818,1.1631709549398954,-3.626820691109726
258.054,1.128658241604054,-3.6217341790941653
258.32,1.0891963160367353,-3.615933961533775
258.554,1.0546293326132372,-3.610735661610393
258.804,1.033358705056571,-3.6072647601429533
259.065,1.031993966357319,-3.6068920208823854
259.304,1.0312349610047344,-3.6065746966507954
259.56,1.0302610328150301,-3.6060246464231915
259.806,1.029332781675949,-3.6053165327207846
260.056,1.0285261111428703,-3.6045169554623357
260.304,1.0273248750437467,-3.6029953777899144
260.567,1.0265850387281346,-3.601806898493616
260.812,1.026031029867823,-3.6005807844679008
261.054,1.0257507523659204,-3.5997103092997658
261.304,1.0255590186947017,-3.598728959404063
261.559,1.025479581755674,-3.5976201693688887
261.816,1.0254765604267781,-3.597306046059057
262.056,1.026455305219386,-3.5836892250721415
262.306,1.0297043350682211,-3.544133386129108
262.554,1.0326689279951546,-3.509384158560651
262.804,1.0356270953742586,-3.4745570050844035
263.06,1.0390465823912098,-3.43476905474251
263.317,1.042564613520969,-3.3949700271565275
263.578,1.046061320339695,-3.355159771506669
263.819,1.0492045240276557,-3.3203827117374485
264.057,1.0523786843111593,-3.285652269085544
264.306,1.056006961014371,-3.245734648119488
264.554,1.0592650272202027,-3.211101647306133
264.809,1.0630193278302906,-3.1712723404083962
265.058,1.0662913931244051,-3.1365493175177845
265.307,1.0701665562441145,-3.0967945349906225
265.557,1.0735457285166332,-3.062003838310004
265.812,1.077446797427653,-3.022259571213061
266.054,1.0809360678046394,-2.9875763396099475
266.305,1.0849284031363813,-2.9476772671843565
266.554,1.0884586044040154,-2.9130535657164525
266.804,1.0925726276932084,-2.8733132330028788
267.066,1.0961585649767398,-2.8384798530595154
267.315,1.1003524018957866,-2.7988553484876633
267.554,1.1040452283511888,-2.764151721857724
267.825,1.1082725182826976,-2.724392219227528
268.054,1.1120683734229286,-2.6897418030230535
268.307,1.1164167653286359,-2.649936213478513
268.563,1.1202250063893746,-2.615310477766039
268.804,1.1241263134057582,-2.5806637121722535
269.056,1.1285936484622998,-2.54083728350342
269.304,1.130907461627898,-2.5141578644210782
269.566,1.130615101258381,-2.510378320837597
269.804,1.1309281049789488,-2.511414886733002
270.055,1.131441400319457,-2.5125741966511614
270.305,1.1321148668192542,-2.5136717814841933
270.554,1.1328196215347073,-2.514548737611158
270.807,1.1337092083581581,-2.5154055162176623
271.055,1.1342620962151604,-2.5158288116158167
271.308,1.134542727386934,-2.516003034701104
271.559,1.1308849100384397,-2.5138186576066843
