time,goal_x,goal_y,x,y,er_x,er_y
42.833,-3.8900546182711304,-1.831853233189368,-4.019185889726293,-1.3295297186204682,-3.760923346815968,-2.3341767477582676
43.083,-3.8892465717705074,-1.8348336754046146,-4.019180707529261,-1.3295267158170727,-3.759312436011754,-2.3401406349921565
43.333,-3.8888349031533993,-1.83627273889776,-4.019176147672926,-1.3295240729716697,-3.758493658633873,-2.3430214048238502
43.583,-3.889551053994965,-1.833175216769064,-4.019170963016778,-1.3295210672539297,-3.759931144973151,-2.3368293662841984
43.833,-3.889081501804547,-1.834838247734396,-4.019166400996618,-1.3295184218433802,-3.7589966026124753,-2.3401580736254117
44.083,-3.889477607429522,-1.833137179635366,-4.019161213880134,-1.3295154132081075,-3.759794000978911,-2.3367589460626244
44.333,-3.8901422928190943,-1.8303957009932994,-4.019156649695089,-1.329512765229595,-3.7611279359431005,-2.3312786367570038
44.583,-3.889816382152435,-1.831348772978647,-4.019151460117061,-1.3295097536735883,-3.7604813041878096,-2.333187792283706
44.833,-3.8896357872695915,-1.8318888710831924,-4.019146893766062,-1.3295071031243026,-3.760124680773121,-2.3342706390420824
45.083,-3.889288726616817,-1.833072774069933,-4.019141701725272,-1.329504088644362,-3.759435751508362,-2.336641459495504
45.333,-3.888881188472304,-1.8344918188911143,-4.019137133207253,-1.3295014355214858,-3.7586252437373555,-2.3394822022607427
45.583,-3.890491796020416,-1.8282522263414527,-4.019131938702498,-1.329498418114409,-3.7618516533383346,-2.3270060345684964
45.833,-3.8911981900428083,-1.8253545716636093,-4.019127368016394,-1.329495762415122,-3.763269012069222,-2.3212133809120963
46.083,-3.889174886468897,-1.8330345182711445,-4.019122171046452,-1.329492742077699,-3.7592276018913426,-2.33657629446459
46.333,-3.8907347172967763,-1.8268309794049307,-4.019117598190078,-1.329490083798545,-3.7623518364034743,-2.324171875011316
46.583,-3.890687676253135,-1.8267034468606125,-4.019112398749039,-1.3294870605248237,-3.7622629537572307,-2.3239198331964013
46.833,-3.890534570576499,-1.8271368417778764,-4.0191078237131705,-1.32948439965836,-3.7619613174398276,-2.3247892838973927
47.083,-3.8900645005937786,-1.8287950385196667,-4.019102621791073,-1.3294813734406756,-3.761026379396484,-2.328108703598658
47.333,-3.8897451851625857,-1.8298704707833287,-4.0190980445734175,-1.3294787099839707,-3.760392325751754,-2.3302622315826866
47.583,-3.8896327714043397,-1.8299937132688402,-4.019092840171336,-1.3294756808206403,-3.7601727026373437,-2.33051174571704
47.833,-3.8888280238555666,-1.8329440106305883,-4.019088260771516,-1.3294730147712348,-3.758567786939617,-2.3364150064899416
48.083,-3.890009954670974,-1.8282146510454145,-4.019083053888233,-1.3294699826590222,-3.760936855453715,-2.326959319431807
48.333,-3.889795498725233,-1.8288834432125376,-4.019078472305166,-1.3294673140140612,-3.7605125251452995,-2.328299572411014
48.583,-3.888403780302896,-1.8339457009106863,-4.019073262939459,-1.3294642789497246,-3.7577342976663326,-2.3384271228716482
48.833,-3.8896187063050602,-1.8290952567234422,-4.019068679172068,-1.329461607706356,-3.7601687334380527,-2.3287289057405287
49.083,-3.8892020552364337,-1.8305416587456746,-4.019063467322711,-1.3294585696866525,-3.759340643150156,-2.331624747804697
49.333,-3.8893784134611495,-1.8297010716912059,-4.019058881369915,-1.3294558958420213,-3.7596979455523836,-2.3299462475403905
49.583,-3.8891294325945447,-1.8303496982484624,-4.019053667035679,-1.3294528548636997,-3.759205198153411,-2.331246541633225
49.833,-3.8901871220326467,-1.8261129066535355,-4.019049078896394,-1.3294501784149453,-3.7613251651688993,-2.3227756348921256
50.083,-3.889371172895139,-1.829096430361,-4.019043862076042,-1.3294471344796512,-3.7596984837142364,-2.328745726242349
50.333,-3.889380864660537,-1.8288992180899641,-4.019039271742804,-1.329444455451372,-3.759722457578271,-2.328353980728556
50.583,-3.889213596021495,-1.8292323665632209,-4.019034052416818,-1.329441408605861,-3.7593931396261726,-2.329023324520581
50.833,-3.8881839658542034,-1.8330352684381885,-4.019029459875493,-1.3294387270180543,-3.7573384718329135,-2.3366318098583228
51.083,-3.8890786598117306,-1.8294303834173637,-4.01902423803883,-1.3294356772614124,-3.759133081584631,-2.329425089573315
